NameOfMedicine;InternationalName;ActiveSubstance;Therapeutic;URL
Ocaliva;obeticholic acid;Obeticholic acid;Ocaliva is indicated for the treatment of primary biliary cholangitis (also known as primary biliary cirrhosis) in combination with ursodeoxycholic acid (UDCA) in adults with an inadequate response to UDCA or as monotherapy in adults unable to tolerate UDCA.;https://www.ema.europa.eu/en/medicines/human/EPAR/ocaliva
Briviact (in Italy: Nubriveo);brivaracetam;Brivaracetam;Briviact is indicated as adjunctive therapy in the treatment of partial-onset seizures with or without secondary generalisation in adult and adolescent patients from 16 years of age with epilepsy.;https://www.ema.europa.eu/en/medicines/human/EPAR/briviact-italy-nubriveo
Entyvio;vedolizumab;vedolizumab;Ulcerative colitis Entyvio is indicated for the treatment of adult patients with moderately to severely active ulcerative colitis who have had an inadequate response with, lost response to, or were intolerant to either conventional therapy or a tumour necrosis factor alpha (TNF?) antagonist. Crohn’s disease Entyvio is indicated for the treatment of adult patients with moderately to severely active Crohn’s disease who have had an inadequate response with, lost response to, or were intolerant to either conventional therapy or a tumour necrosis factor alpha (TNF?) antagonist. Pouchitis Entyvio is indicated for the treatment of adult patients with moderately to severely active chronic pouchitis, who have undergone proctocolectomy and ileal pouch anal anastomosis for ulcerative colitis, and have had an inadequate response with or lost response to antibiotic therapy.;https://www.ema.europa.eu/en/medicines/human/EPAR/entyvio
Evrenzo;roxadustat;Roxadustat;Evrenzo is indicated for treatment of adult patients with symptomatic anaemia associated with chronic kidney disease (CKD).;https://www.ema.europa.eu/en/medicines/human/EPAR/evrenzo
Veoza;fezolinetant;fezolinetant;Veoza is indicated for the treatment of moderate to severe vasomotor symptoms (VMS) associated with menopause.;https://www.ema.europa.eu/en/medicines/human/EPAR/veoza
Darzalex;daratumumab;Daratumumab;"Multiple Myeloma Darzalex is indicated:  &nbsp;in combination with lenalidomide and dexamethasone or with bortezomib, melphalan and prednisone for the treatment of adult patients with newly diagnosed multiple myeloma who are ineligible for autologous stem cell transplant. in combination with bortezomib, thalidomide and dexamethasone for the treatment of adult patients with newly diagnosed multiple myeloma who are eligible for autologous stem cell transplant. in combination with lenalidomide and dexamethasone, or bortezomib and dexamethasone, for the treatment of adult patients with multiple myeloma who have received at least one prior therapy. in combination with pomalidomide and dexamethasone for the treatment of adult patients with multiple myeloma who have received one prior therapy containing a proteasome inhibitor and lenalidomide and were lenalidomide refractory, or who have received at least two prior therapies that included lenalidomide and a proteasome inhibitor and have demonstrated disease progression on or after the last therapy (see section 5.1). as monotherapy for the treatment of adult patients with relapsed and refractory multiple myeloma, whose prior therapy included a proteasome inhibitor and an immunomodulatory agent and who have demonstrated disease progression on the last therapy.  AL Amyloidosis DARZALEX is indicated in combination with cyclophosphamide, bortezomib and dexamethasone for the treatment of adult patients with newly diagnosed systemic light chain (AL) amyloidosis.";https://www.ema.europa.eu/en/medicines/human/EPAR/darzalex
Darzalex;daratumumab;Daratumumab;"Multiple Myeloma Darzalex is indicated:  &nbsp;in combination with lenalidomide and dexamethasone or with bortezomib, melphalan and prednisone for the treatment of adult patients with newly diagnosed multiple myeloma who are ineligible for autologous stem cell transplant. in combination with bortezomib, thalidomide and dexamethasone for the treatment of adult patients with newly diagnosed multiple myeloma who are eligible for autologous stem cell transplant. in combination with lenalidomide and dexamethasone, or bortezomib and dexamethasone, for the treatment of adult patients with multiple myeloma who have received at least one prior therapy. in combination with pomalidomide and dexamethasone for the treatment of adult patients with multiple myeloma who have received one prior therapy containing a proteasome inhibitor and lenalidomide and were lenalidomide refractory, or who have received at least two prior therapies that included lenalidomide and a proteasome inhibitor and have demonstrated disease progression on or after the last therapy (see section 5.1). as monotherapy for the treatment of adult patients with relapsed and refractory multiple myeloma, whose prior therapy included a proteasome inhibitor and an immunomodulatory agent and who have demonstrated disease progression on the last therapy.  AL Amyloidosis DARZALEX is indicated in combination with cyclophosphamide, bortezomib and dexamethasone for the treatment of adult patients with newly diagnosed systemic light chain (AL) amyloidosis.";https://www.ema.europa.eu/en/medicines/human/EPAR/darzalex
Eladynos;abaloparatide;abaloparatide;Treatment of osteoporosis in postmenopausal women at increased risk of fracture.;https://www.ema.europa.eu/en/medicines/human/EPAR/eladynos
Myclausen;mycophenolate mofetil;mycophenolate mofetil;Myclausen is indicated in combination with ciclosporin and corticosteroids for the prophylaxis of acute transplant rejection in patients receiving allogeneic renal, cardiac or hepatic transplants.;https://www.ema.europa.eu/en/medicines/human/EPAR/myclausen
Febuxostat Viatris (previously Febuxostat Mylan);febuxostat;febuxostat;"Febuxostat Viatris is indicated for the treatment of chronic hyperuricaemia in conditions where urate deposition has already occurred (including a history, or presence of, tophus and/or gouty arthritis). Febuxostat Viatris is indicated for the prevention and treatment of hyperuricaemia in adult patients undergoing chemotherapy for haematologic malignancies at intermediate to high risk of Tumor Lysis Syndrome (TLS).&nbsp;&nbsp; Febuxostat Viatris is indicated in adults.";https://www.ema.europa.eu/en/medicines/human/EPAR/febuxostat-viatris
Lacosamide UCB;lacosamide;lacosamide;Lacosamide UCB is indicated as monotherapy and adjunctive therapy in the treatment of partial-onset seizures with or without secondary generalisation in adults, adolescents and children from 4 years of age with epilepsy.;https://www.ema.europa.eu/en/medicines/human/EPAR/lacosamide-ucb
CellCept;mycophenolate mofetil;mycophenolate mofetil;CellCept is indicated in combination with ciclosporin and corticosteroids for the prophylaxis of acute transplant rejection in patients receiving allogeneic renal, cardiac or hepatic transplants.;https://www.ema.europa.eu/en/medicines/human/EPAR/cellcept
Glivec;imatinib;imatinib;"Glivec is indicated for the treatment of  adult and paediatric patients with newly diagnosed Philadelphia-chromosome (bcr-abl)-positive (Ph+) chronic myeloid leukaemia (CML) for whom bone-marrow transplantation is not considered as the first line of treatment; adult and paediatric patients with Ph+ CML in chronic phase after failure of interferon-alpha therapy, or in accelerated phase or blast crisis; adult and paediatric patients with newly diagnosed Philadelphia-chromosome-positive acute lymphoblastic leukaemia (Ph+ ALL) integrated with chemotherapy; adult patients with relapsed or refractory Ph+ ALL as monotherapy; adult patients with myelodysplastic / myeloproliferative diseases (MDS / MPD) associated with platelet-derived growth factor receptor (PDGFR) gene re-arrangements; adult patients with advanced hypereosinophilic syndrome (HES) and / or chronic eosinophilic leukaemia (CEL) with FIP1L1-PDGFRa rearrangement.  The effect of Glivec on the outcome of bone-marrow transplantation has not been determined. Glivec is indicated for:  the treatment of adult patients with Kit (CD 117)-positive unresectable and / or metastatic malignant gastrointestinal stromal tumours (GIST); the adjuvant treatment of adult patients who are at significant risk of relapse following resection of Kit (CD117)-positive GIST. Patients who have a low or very low risk of recurrence should not receive adjuvant treatment; the treatment of adult patients with unresectable dermatofibrosarcoma protuberans (DFSP) and adult patients with recurrent and / or metastatic DFSP who are not eligible for surgery.  In adult and paediatric patients, the effectiveness of Glivec is based on overall haematological and cytogenetic response rates and progression-free survival in CML, on haematological and cytogenetic response rates in Ph+ ALL, MDS / MPD, on haematological response rates in HES / CEL and on objective response rates in adult patients with unresectable and / or metastatic GIST and DFSP and on recurrence-free survival in adjuvant GIST. The experience with Glivec in patients with MDS / MPD associated with PDGFR gene re-arrangements is very limited (see section 5.1). Except in newly diagnosed chronic phase CML, there are no controlled trials demonstrating a clinical benefit or increased survival for these diseases.";https://www.ema.europa.eu/en/medicines/human/EPAR/glivec
Fampridine Accord;fampridine;Fampridine;"Fampridine Accord is indicated for the improvement of walking in adult patients with multiple sclerosis with walking disability (EDSS 4-7).&nbsp;";https://www.ema.europa.eu/en/medicines/human/EPAR/fampridine-accord
Entecavir Viatris (previously Entecavir Mylan);entecavir;entecavir monohydrate;"Entecavir Viatris is indicated for the treatment of chronic hepatitis B virus (HBV) infection in adults with: - compensated liver disease and evidence of active viral replication, persistently elevated serum alanine aminotransferase (ALT) levels and histological evidence of active inflammation and/or fibrosis. - decompensated liver disease. For both compensated and decompensated liver disease, this indication is based on clinical trial data in nucleoside naive patients with HBeAg positive and HBeAg negative HBV infection. With respect to patients with lamivudine-refractory hepatitis B. Entecavir Viatris is also indicated for the treatment of chronic HBV infection in nucleoside naive paediatric patients from 2 to &lt;18 years of age with compensated liver disease who have evidence of active viral replication and persistently elevated serum ALT levels, or histological evidence of moderate to severe inflammation and/or fibrosis. With respect to the decision to initiate treatment in paediatric patients.";https://www.ema.europa.eu/en/medicines/human/EPAR/entecavir-viatris
Tessie;tasipimidine;;;https://www.ema.europa.eu/en/medicines/veterinary/EPAR/tessie
Myfenax;mycophenolate mofetil;mycophenolate mofetil;Myfenax is indicated in combination with ciclosporin and corticosteroids for the prophylaxis of acute transplant rejection in patients receiving allogeneic renal, cardiac or hepatic transplants.;https://www.ema.europa.eu/en/medicines/human/EPAR/myfenax
Mycophenolate mofetil Teva;mycophenolate mofetil;mycophenolate mofetil;Mycophenolate mofetil Teva is indicated in combination with ciclosporin and corticosteroids for the prophylaxis of acute transplant rejection in patients receiving allogeneic renal, cardiac or hepatic transplants.;https://www.ema.europa.eu/en/medicines/human/EPAR/mycophenolate-mofetil-teva
Ranexa (previously Latixa);ranolazine;ranolazine;Ranexa is indicated as add-on therapy for the symptomatic treatment of patients with stable angina pectoris who are inadequately controlled or intolerant to first-line anti-anginal therapies (such as beta-blockers and / or calcium antagonists).;https://www.ema.europa.eu/en/medicines/human/EPAR/ranexa
Cancidas (previously Caspofungin MSD);caspofungin;caspofungin (as acetate);"Treatment of invasive candidiasis in adult or paediatric patients; treatment of invasive aspergillosis in adult or paediatric patients who are refractory to or intolerant of amphotericin B, lipid formulations of amphotericin B and / or itraconazole. Refractoriness is defined as progression of infection or failure to improve after a minimum of seven days of prior therapeutic doses of effective antifungal therapy; empirical therapy for presumed fungal infections (such as Candida or Aspergillus) in febrile, neutropaenic adult or paediatric patients.";https://www.ema.europa.eu/en/medicines/human/EPAR/cancidas
Kyprolis;carfilzomib;carfilzomib;Kyprolis in combination with daratumumab and dexamethasone, with lenalidomide and dexamethasone, or with dexamethasone alone is indicated for the treatment of adult patients with multiple myeloma who have received at least one prior therapy.;https://www.ema.europa.eu/en/medicines/human/EPAR/kyprolis
Aerinaze;"desloratadine;pseudoephedrine";"desloratadine;pseudophedrine sulfate";Symptomatic treatment of seasonal allergic rhinitis when accompanied by nasal congestion.;https://www.ema.europa.eu/en/medicines/human/EPAR/aerinaze
Komboglyze;"saxagliptin;metformin hydrochloride";"metformin hydrochloride;saxagliptin hydrochloride";Komboglyze is indicated as an adjunct to diet and exercise to improve glycaemic control in adult patients aged 18 years and older with type-2 diabetes mellitus inadequately controlled on their maximally tolerated dose of metformin alone or those already being treated with the combination of saxagliptin and metformin as separate tablets. Komboglyze is also indicated in combination with insulin (i.e. triple combination therapy) as an adjunct to diet and exercise to improve glycaemic control in adult patients aged 18 years and older with type-2 diabetes mellitus when insulin and metformin alone do not provide adequate glycaemic control.;https://www.ema.europa.eu/en/medicines/human/EPAR/komboglyze
Komboglyze;"saxagliptin;metformin hydrochloride";"metformin hydrochloride;saxagliptin hydrochloride";Komboglyze is indicated as an adjunct to diet and exercise to improve glycaemic control in adult patients aged 18 years and older with type-2 diabetes mellitus inadequately controlled on their maximally tolerated dose of metformin alone or those already being treated with the combination of saxagliptin and metformin as separate tablets. Komboglyze is also indicated in combination with insulin (i.e. triple combination therapy) as an adjunct to diet and exercise to improve glycaemic control in adult patients aged 18 years and older with type-2 diabetes mellitus when insulin and metformin alone do not provide adequate glycaemic control.;https://www.ema.europa.eu/en/medicines/human/EPAR/komboglyze
Enjaymo;sutimlimab;sutimlimab;Enjaymo is indicated for the treatment of haemolytic anaemia in adult patients with cold agglutinin disease (CAD).;https://www.ema.europa.eu/en/medicines/human/EPAR/enjaymo
Strimvelis;autologous CD34+ enriched cell fraction that contains CD34+ cells transduced with retroviral vector that encodes for the human ADA cDNA sequence;autologous CD34+ enriched cell fraction that contains CD34+ cells transduced with retroviral vector that encodes for the human adenosine deaminase (ADA) cDNA sequence from human haematopoietic stem/progenitor (CD34+) cells;Strimvelis is indicated for the treatment of patients with severe combined immunodeficiency due to adenosine deaminase deficiency (ADA-SCID), for whom no suitable human leukocyte antigen (HLA)-matched related stem cell donor is available (see section 4.2 and section 4.4).;https://www.ema.europa.eu/en/medicines/human/EPAR/strimvelis
Lonsurf;"trifluridine;tipiracil";"trifluridine;tipiracil hydrochloride";Colorectal cancer Lonsurf is indicated in combination with bevacizumab for the treatment of adult patients with metastatic colorectal cancer (CRC) who have received two prior anticancer treatment regimens including fluoropyrimidine-, oxaliplatin- and irinotecan-based chemotherapies, anti-VEGF agents, and/or anti-EGFR agents. Lonsurf is indicated as monotherapy for the treatment of adult patients with metastatic colorectal cancer (CRC) who have been previously treated with, or are not considered candidates for, available therapies including fluoropyrimidine-, oxaliplatin- and irinotecan-based chemotherapies, anti-VEGF agents, and anti EGFR agents Gastric cancer Lonsurf is indicated as monotherapy for the treatment of adult patients with metastatic gastric cancer including adenocarcinoma of the gastroesophageal junction, who have been previously treated with at least two prior systemic treatment regimens for advanced disease.;https://www.ema.europa.eu/en/medicines/human/EPAR/lonsurf
Perjeta;pertuzumab;pertuzumab;Metastatic Breast Cancer: Perjeta is indicated for use in combination with trastuzumab and docetaxel in adult patients with HER2-positive metastatic or locally recurrent unresectable breast cancer, who have not received previous anti-HER2 therapy or chemotherapy for their metastatic disease. Neoadjuvant Treatment of Breast Cancer: Perjeta is indicated for use in combination with trastuzumab and chemotherapy for the neoadjuvant treatment of adult patients with HER2-positive, locally advanced, inflammatory, or early stage breast cancer at high risk of recurrence.;https://www.ema.europa.eu/en/medicines/human/EPAR/perjeta
Perjeta;pertuzumab;pertuzumab;Metastatic Breast Cancer: Perjeta is indicated for use in combination with trastuzumab and docetaxel in adult patients with HER2-positive metastatic or locally recurrent unresectable breast cancer, who have not received previous anti-HER2 therapy or chemotherapy for their metastatic disease. Neoadjuvant Treatment of Breast Cancer: Perjeta is indicated for use in combination with trastuzumab and chemotherapy for the neoadjuvant treatment of adult patients with HER2-positive, locally advanced, inflammatory, or early stage breast cancer at high risk of recurrence.;https://www.ema.europa.eu/en/medicines/human/EPAR/perjeta
Niapelf;paliperidone;paliperidone palmitate;"indicated for maintenance treatment of schizophrenia in adult patients stabilised withpaliperidone or risperidone. In selected adult patients with schizophrenia and previous responsiveness to oral paliperidone or risperidone, Niapelf may be used without prior stabilisation with oral treatment if psychotic symptoms are mild to moderate and a long-acting injectable treatment is needed.&nbsp;";https://www.ema.europa.eu/en/medicines/human/EPAR/niapelf
Prevenar 13;pneumococcal polysaccharide conjugate vaccine (13-valent, adsorbed);"Pneumococcal polysaccharide serotype 1;Pneumococcal polysaccharide serotype 3;Pneumococcal polysaccharide serotype 4;Pneumococcal polysaccharide serotype 5;Pneumococcal polysaccharide serotype 6A;Pneumococcal polysaccharide serotype 6B;Pneumococcal polysaccharide serotype 7F;Pneumococcal polysaccharide serotype 9V;Pneumococcal polysaccharide serotype 14;Pneumococcal polysaccharide serotype 18C;Pneumococcal polysaccharide serotype 19A;Pneumococcal polysaccharide serotype 19F;Pneumococcal polysaccharide serotype 23F";Active immunisation for the prevention of invasive disease, pneumonia and acute otitis media caused by Streptococcus pneumoniae in infants, children and adolescents from 6 weeks to 17 years of age. Active immunisation for the prevention of invasive disease caused by Streptococcus pneumoniae in adults ?18 years of age and the elderly. See sections 4.4 and 5.1 for information on protection against specific pneumococcal serotypes. The use of Prevenar 13 should be determined on the basis of official recommendations taking into consideration the risk of invasive disease in different age groups, underlying comorbidities as well as the variability of serotype epidemiology in different geographical areas.;https://www.ema.europa.eu/en/medicines/human/EPAR/prevenar-13
Abiraterone Mylan;abiraterone acetate;abiraterone acetate;Abiraterone Mylan is indicated with prednisone or prednisolone for:  the treatment of newly diagnosed high risk metastatic hormone sensitive prostate cancer (mHSPC) in adult men in combination with androgen deprivation therapy (ADT). the treatment of metastatic castration resistant prostate cancer (mCRPC) in adult men who are asymptomatic or mildly symptomatic after failure of androgen deprivation therapy in whom chemotherapy is not yet clinically indicated. the treatment of mCRPC in adult men whose disease has progressed on or after a docetaxel based chemotherapy regimen.;https://www.ema.europa.eu/en/medicines/human/EPAR/abiraterone-mylan
Abiraterone Mylan;abiraterone acetate;abiraterone acetate;Abiraterone Mylan is indicated with prednisone or prednisolone for:  the treatment of newly diagnosed high risk metastatic hormone sensitive prostate cancer (mHSPC) in adult men in combination with androgen deprivation therapy (ADT). the treatment of metastatic castration resistant prostate cancer (mCRPC) in adult men who are asymptomatic or mildly symptomatic after failure of androgen deprivation therapy in whom chemotherapy is not yet clinically indicated. the treatment of mCRPC in adult men whose disease has progressed on or after a docetaxel based chemotherapy regimen.;https://www.ema.europa.eu/en/medicines/human/EPAR/abiraterone-mylan
Vfend;voriconazole;voriconazole;"Voriconazole, is a broad spectrum, triazole antifungal agent and is indicated in adults and children aged 2 years and above as follows:  treatment of invasive aspergillosis; treatment of in candidaemianon-neutropenic patients; treatment of fluconazole-resistant serious invasive Candida infections (including C. krusei); Treatment of serious fungal infections caused by Scedosporium spp. and Fusarium spp.  Vfend should be administered primarily to patients with progressive, possibly life-threatening infections. Prophylaxis of invasive fungal infections in high risk allogeneic hematopoietic stem cell transplant (HSCT) recipients.";https://www.ema.europa.eu/en/medicines/human/EPAR/vfend
Rubraca;rucaparib;Rucaparib camsylate;Rubraca is indicated as monotherapy for the maintenance treatment of adult patients with advanced (FIGO Stages III and IV) high-grade epithelial ovarian, fallopian tube, or primary peritoneal cancer who are in response (complete or partial) following completion of first-line platinum-based chemotherapy. Rubraca is indicated as monotherapy for the maintenance treatment of adult patients with platinum-sensitive relapsed high-grade epithelial ovarian, fallopian tube, or primary peritoneal cancer who are in response (complete or partial) to platinum-based chemotherapy.;https://www.ema.europa.eu/en/medicines/human/EPAR/rubraca
Sixmo;buprenorphine;Buprenorphine hydrochloride;Sixmo is indicated for substitution treatment for opioid dependence in clinically stable adult patients who require no more than 8 mg/day of sublingual buprenorphine, within a framework of medical, social and psychological treatment.;https://www.ema.europa.eu/en/medicines/human/EPAR/sixmo
Ertapenem SUN;ertapenem;ertapenem sodium;Treatment Ertapenem SUN is indicated in paediatric patients (3 months to 17 years of age) and in adults for the treatment of the following infections when caused by bacteria known or very likely to be susceptible to ertapenem and when parenteral therapy is required (see sections 4.4 and 5.1):  Intra-abdominal infections Community acquired pneumonia Acute gynaecological infections Diabetic foot infections of the skin and soft tissue (see section 4.4)  Prevention Ertapenem SUN is indicated in adults for the prophylaxis of surgical site infection following elective colorectal surgery (see section 4.4). Consideration should be given to official guidance on the appropriate use of antibacterial agents.;https://www.ema.europa.eu/en/medicines/human/EPAR/ertapenem-sun
Nobivac LoVo L4;leptospira interrogans, serogroup Canicola, serovar Portland-vere, strain Ca-12-000, inactivated / leptospira interrogans, serogroup Icterohaemorrhagiae, serovar Copenhageni, strain Ic-02-001, inactivated / leptospira interrogans, serogroup Australis, serovar Bratislava, strain As-05-073, inactivated / leptospira kirschneri, serogroup Grippotyphosa, serovar Dadas, strain GR-01-005, inactivated;Leptospira interrogans, serogroup Australis, serovar Bratislava, strain As-05-073, Inactivated,Leptospira interrogans, serogroup Canicola, serovar Portland-vere, strain Ca-12-000, Inactivated,Leptospira interrogans, serogroup Icterohaemorrhagiae, serovar Copenhageni, strain Ic-02-001, Inactivated,Leptospira kirschneri, serogroup Grippotyphosa, serovar Dadas, strain GR-01-005, Inactivated,;;https://www.ema.europa.eu/en/medicines/veterinary/EPAR/nobivac-lovo-l4
Bovilis Nasalgen-C;bovine coronavirus, strain CA25, live;bovine coronavirus, strain CA25, live;;https://www.ema.europa.eu/en/medicines/veterinary/EPAR/bovilis-nasalgen-c
Bovilis Nasalgen-C;bovine coronavirus, strain CA25, live;bovine coronavirus, strain CA25, live;;https://www.ema.europa.eu/en/medicines/veterinary/EPAR/bovilis-nasalgen-c
Bovilis Nasalgen-C;bovine coronavirus, strain CA25, live;bovine coronavirus, strain CA25, live;;https://www.ema.europa.eu/en/medicines/veterinary/EPAR/bovilis-nasalgen-c
Bovilis Cryptium;cryptosporidium parvum, glycoprotein gp40;Cryptosporidium parvum, glycoprotein gp40;;https://www.ema.europa.eu/en/medicines/veterinary/EPAR/bovilis-cryptium
Bovilis Cryptium;cryptosporidium parvum, glycoprotein gp40;Cryptosporidium parvum, glycoprotein gp40;;https://www.ema.europa.eu/en/medicines/veterinary/EPAR/bovilis-cryptium
Poulvac Procerta HVT-IBD;turkey herpes virus, strain FC-126, expressing infectious bursal disease virus VP2 protein, live;Turkey herpes virus, strain HVT-IBD, expressing infectious bursal disease virus VP2 protein, live;;https://www.ema.europa.eu/en/medicines/veterinary/EPAR/poulvac-procerta-hvt-ibd
Poulvac Procerta HVT-IBD;turkey herpes virus, strain FC-126, expressing infectious bursal disease virus VP2 protein, live;Turkey herpes virus, strain HVT-IBD, expressing infectious bursal disease virus VP2 protein, live;;https://www.ema.europa.eu/en/medicines/veterinary/EPAR/poulvac-procerta-hvt-ibd
Poulvac Procerta HVT-IBD;turkey herpes virus, strain FC-126, expressing infectious bursal disease virus VP2 protein, live;Turkey herpes virus, strain HVT-IBD, expressing infectious bursal disease virus VP2 protein, live;;https://www.ema.europa.eu/en/medicines/veterinary/EPAR/poulvac-procerta-hvt-ibd
Sorafenib Accord;sorafenib;Sorafenib tosilate;Hepatocellular carcinomaSorafenib Accord is indicated for the treatment of hepatocellular carcinoma (see section 5.1). Renal cell carcinomaSorafenib Accord is indicated for the treatment of patients with advanced renal cell carcinoma who have failed prior interferon-alpha or interleukin-2 based therapy or are considered unsuitable for such therapy.;https://www.ema.europa.eu/en/medicines/human/EPAR/sorafenib-accord
Levodopa/Carbidopa/Entacapone Orion;"levodopa;carbidopa;entacapone";"levodopa;carbidopa;entacapone";Levodopa/Carbidopa/Entacapone Orion is indicated for the treatment of adult patients with Parkinson's disease and end-of-dose motor fluctuations not stabilised on levodopa / dopa-decarboxylase (DDC)-inhibitor treatment.;https://www.ema.europa.eu/en/medicines/human/EPAR/levodopa-carbidopa-entacapone-orion
Sutent;sunitinib;sunitinib;Gastrointestinal stromal tumour (GIST) Sutent is indicated for the treatment of unresectable and/or metastatic malignant gastrointestinal stromal tumour (GIST) in adults after failure of imatinib mesilate treatment due to resistance or intolerance. Metastatic renal cell carcinoma (MRCC) Sutent is indicated for the treatment of advanced/metastatic renal cell carcinoma (MRCC) in adults. Pancreatic neuroendocrine tumours (pNET) Sutent is indicated for the treatment of unresectable or metastatic, well-differentiated pancreatic neuroendocrine tumours with disease progression in adults. Experience with Sutent as first-line treatment is limited (see section 5.1).;https://www.ema.europa.eu/en/medicines/human/EPAR/sutent
Cometriq;cabozantinib;cabozantinib;Treatment of adult patients with progressive, unresectable locally advanced or metastatic medullary thyroid carcinoma.;https://www.ema.europa.eu/en/medicines/human/EPAR/cometriq
Metalyse;tenecteplase;tenecteplase;Metalyse is indicated for the thrombolytic treatment of suspected myocardial infarction with persistent ST elevation or recent left-bundle-branch block within six hours after the onset of acute-myocardial-infarction symptoms. Metalyse is indicated in adults for the thrombolytic treatment of acute ischaemic stroke (AIS) within 4.5 hours from last known well and after exclusion of intracranial haemorrhage.;https://www.ema.europa.eu/en/medicines/human/EPAR/metalyse
Cotellic;cobimetinib;cobimetinib hemifumarate;Cotellic is indicated for use in combination with vemurafenib for the treatment of adult patients with unresectable or metastatic melanoma with a BRAF V600 mutation.;https://www.ema.europa.eu/en/medicines/human/EPAR/cotellic
Emgality;galcanezumab;Galcanezumab;Emgality is indicated for the prophylaxis of migraine in adults who have at least 4 migraine days per month.;https://www.ema.europa.eu/en/medicines/human/EPAR/emgality
Emgality;galcanezumab;Galcanezumab;Emgality is indicated for the prophylaxis of migraine in adults who have at least 4 migraine days per month.;https://www.ema.europa.eu/en/medicines/human/EPAR/emgality
Arixtra;fondaparinux sodium;fondaparinux sodium;"1.5-mg/0.3-ml and 2.5-mg/0.5-ml solution for injection Prevention of venous thromboembolic events (VTE) in adults undergoing major orthopaedic surgery of the lower limbs such as hip fracture, major knee surgery or hip-replacement surgery. Prevention of VTE in adults undergoing abdominal surgery who are judged to be at high risk of thromboembolic complications, such as patients undergoing abdominal cancer surgery. Prevention of VTE in adult medical patients who are judged to be at high risk for VTE and who are immobilised due to acute illness such as cardiac insufficiency and / or acute respiratory disorders, and / or acute infectious or inflammatory disease. Treatment of adults with acute symptomatic spontaneous superficial-vein thrombosis of the lower limbs without concomitant deep-vein thrombosis. 2.5-mg/0.5-ml solution for injection Treatment of unstable angina or non-ST-segment-elevation myocardial infarction (UA/NSTEMI) in adult patients for whom urgent (&lt; 120 mins) invasive management (PCI) is not indicated. infarction (STEMI) in adult patients who are managed with thrombolytics or who initially are to receive no other form of reperfusion therapy. 5-mg/0.4-ml, 7.5-mg/0.6-ml and 10-mg/0.8-ml solution for injection Treatment of adults with acute deep-vein thrombosis (DVT) and treatment of acute pulmonary embolism (PE), except in haemodynamically unstable patients or patients who require thrombolysis or pulmonary embolectomy.";https://www.ema.europa.eu/en/medicines/human/EPAR/arixtra
Zelboraf;vemurafenib;vemurafenib;Vemurafenib is indicated in monotherapy for the treatment of adult patients with BRAF-V600-mutation-positive unresectable or metastatic melanoma.;https://www.ema.europa.eu/en/medicines/human/EPAR/zelboraf
Ximluci;ranibizumab;ranibizumab;Ximluci is indicated in adults for:  The treatment of neovascular (wet) age-related macular degeneration (AMD) The treatment of visual impairment due to diabetic macular oedema (DME) The treatment of proliferative diabetic retinopathy (PDR) The treatment of visual impairment due to macular oedema secondary to retinal vein occlusion (branch RVO or central RVO) The treatment of visual impairment due to choroidal neovascularisation (CNV);https://www.ema.europa.eu/en/medicines/human/EPAR/ximluci
Clopidogrel ratiopharm;clopidogrel;clopidogrel (as hydrogen sulfate);Secondary prevention of atherothrombotic events Clopidogrel is indicated in:  Adult patients suffering from myocardial infarction (from a few days until less than 35 days), ischaemic stroke (from 7 days until less than 6 months) or established peripheral arterial disease. Adult patients suffering from acute coronary syndrome:  Non-ST segment elevation acute coronary syndrome (unstable angina or non-Q-wave myocardial infarction), including patients undergoing a stent placement following percutaneous coronary intervention, in combination with acetylsalicylic acid (ASA). ST segment elevation acute myocardial infarction, in combination with ASA in medically treated patients eligible for thrombolytic therapy.    Prevention of atherothrombotic and thromboembolic events in atrial fibrillationIn adult patients with atrial fibrillation who have at least one risk factor for vascular events, are not suitable for treatment with Vitamin K antagonists (VKA) and who have a low bleeding risk, clopidogrel is indicated in combination with ASA for the prevention of atherothrombotic and thromboembolic events, including stroke.;https://www.ema.europa.eu/en/medicines/human/EPAR/clopidogrel-ratiopharm
Upstaza;eladocagene exuparvovec;Eladocagene exuparvovec;Upstaza is indicated for the treatment of patients aged 18 months and older with a clinical, molecular, and genetically confirmed diagnosis of aromatic L amino acid decarboxylase (AADC) deficiency with a severe phenotype (see section 5.1).;https://www.ema.europa.eu/en/medicines/human/EPAR/upstaza
Upstaza;eladocagene exuparvovec;Eladocagene exuparvovec;Upstaza is indicated for the treatment of patients aged 18 months and older with a clinical, molecular, and genetically confirmed diagnosis of aromatic L amino acid decarboxylase (AADC) deficiency with a severe phenotype (see section 5.1).;https://www.ema.europa.eu/en/medicines/human/EPAR/upstaza
Livtencity;maribavir;Maribavir;LIVTENCITY is indicated for the treatment of cytomegalovirus (CMV) infection and/or disease that are refractory (with or without resistance) to one or more prior therapies, including ganciclovir, valganciclovir, cidofovir or foscarnet in adult patients who have undergone a haematopoietic stem cell transplant (HSCT) or solid organ transplant (SOT). Consideration should be given to official guidance on the appropriate use of antiviral agents.;https://www.ema.europa.eu/en/medicines/human/EPAR/livtencity
Cuprior;trientine;Trientine tetrahydrochloride;Cuprior is indicated for the treatment of Wilson's disease in adults, adolescents and children ? 5 years intolerant to D-penicillamine therapy.;https://www.ema.europa.eu/en/medicines/human/EPAR/cuprior
